Metric,EfficientNet,Vision Transformer,Ensemble
Accuracy,0.21201848983764648,0.44807395339012146,0.45423728227615356
Precision,0.38952234387397766,0.6144578456878662,0.0
Recall,0.5,0.2828967571258545,0.0
